epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,108.248,1.30446,2.09546,1.22538,0.00331,1,0.77516,0.47005,1.1334,3.39334,1.03034,0.000195452,0.000195452,0.000195452
34,111.43,1.06188,2.02426,1.10508,0.00331,1,0.77516,0.47005,1.1334,3.39334,1.03034,0.000190668,0.000190668,0.000190668
35,114.658,1.05377,1.85383,1.0666,0.00331,1,0.79769,0.49073,1.11748,3.44948,1.03303,0.000185224,0.000185224,0.000185224
36,117.779,1.01246,1.76241,0.95979,0.00331,1,0.79769,0.49073,1.11748,3.44948,1.03303,0.000179119,0.000179119,0.000179119
37,121.087,0.98068,1.93254,1.0598,0.00331,1,0.74116,0.48872,1.05219,3.44304,1.02,0.000172354,0.000172354,0.000172354
38,124.342,1.28884,1.97602,1.19372,0.00331,1,0.74116,0.48872,1.05219,3.44304,1.02,0.00016493,0.00016493,0.00016493
39,127.672,1.03756,2.06914,1.0495,0.00332,1,0.74539,0.53342,0.96954,3.37787,0.98138,0.000156845,0.000156845,0.000156845
40,130.846,1.20631,2.1576,1.06798,0.00332,1,0.74539,0.53342,0.96954,3.37787,0.98138,0.0001481,0.0001481,0.0001481
41,134.015,1.01898,2.20286,1.05967,0.00332,1,0.73032,0.55525,0.87664,3.33859,0.94949,0.000138694,0.000138694,0.000138694
42,137.22,0.87949,2.02671,1.16364,0.00332,1,0.73032,0.55525,0.87664,3.33859,0.94949,0.000128629,0.000128629,0.000128629
43,140.603,0.94728,2.29027,1.13896,0.00332,1,0.72945,0.60438,0.79762,3.32194,0.93083,0.000117904,0.000117904,0.000117904
44,143.744,0.94471,2.11525,1.11843,0.00332,1,0.72945,0.60438,0.79762,3.32194,0.93083,0.000106518,0.000106518,0.000106518
45,147.04,1.04,2.04898,1.12537,0.00331,1,0.79168,0.64023,0.79419,3.26776,0.92353,9.44722e-05,9.44722e-05,9.44722e-05
46,150.12,0.85335,1.95864,1.07588,0.00331,1,0.79168,0.64023,0.79419,3.26776,0.92353,8.17663e-05,8.17663e-05,8.17663e-05
47,153.44,1.01035,2.01461,1.03124,0.49694,0.91667,0.79141,0.64838,0.80464,3.23771,0.92271,6.84003e-05,6.84003e-05,6.84003e-05
48,156.535,0.96477,2.04101,1.09213,0.49694,0.91667,0.79141,0.64838,0.80464,3.23771,0.92271,5.43742e-05,5.43742e-05,5.43742e-05
49,159.691,0.81743,2.02762,1.02119,0.68829,0.65428,0.79136,0.64837,0.79734,3.22337,0.92301,3.96879e-05,3.96879e-05,3.96879e-05
50,162.929,0.78849,1.97094,0.98874,0.68829,0.65428,0.79136,0.64837,0.79734,3.22337,0.92301,2.43415e-05,2.43415e-05,2.43415e-05
