epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.40964,1.99802,4.3341,1.84095,0.00172,0.45833,0.00258,0.00113,1.83989,5.10692,2.02313,0,0,0
2,7.25652,1.5573,4.21799,1.723,0.00205,0.54167,0.00381,0.00167,1.82611,4.96406,1.97381,1.63399e-05,1.63399e-05,1.63399e-05
3,12.1163,1.75073,4.33986,1.74467,0.00269,0.79167,0.00854,0.00299,1.7281,5.05606,1.91,3.20197e-05,3.20197e-05,3.20197e-05
4,16.7741,1.69883,4.33582,1.73734,0.00301,0.91667,0.01623,0.00555,1.6694,4.97636,1.77495,4.70394e-05,4.70394e-05,4.70394e-05
5,20.0835,1.59487,3.95136,1.56833,0.00301,0.91667,0.0387,0.01935,1.72616,4.61037,1.6746,6.13989e-05,6.13989e-05,6.13989e-05
6,23.3561,1.83618,4.00769,1.63668,0.003,0.91667,0.05836,0.03393,1.74814,4.65394,1.57848,7.50984e-05,7.50984e-05,7.50984e-05
7,26.9559,1.604,4.06612,1.46507,0.003,0.91667,0.12834,0.06231,1.69563,4.46153,1.48208,8.81376e-05,8.81376e-05,8.81376e-05
8,30.1193,1.64956,3.84054,1.62193,0.00332,1,0.36236,0.15611,1.65269,4.31197,1.44236,0.000100517,0.000100517,0.000100517
9,33.4195,1.84499,4.13549,1.66744,0.00332,1,0.5546,0.23441,1.63727,4.20771,1.35882,0.000112236,0.000112236,0.000112236
10,36.6016,1.53234,3.61305,1.36852,0.00333,1,0.56164,0.23534,1.65497,4.04314,1.32895,0.000123295,0.000123295,0.000123295
11,39.6502,1.15273,3.46044,1.15428,0.00333,1,0.61401,0.31497,1.58721,3.9451,1.29426,0.000133693,0.000133693,0.000133693
12,42.8587,1.51028,3.12443,1.33085,0.00333,1,0.62042,0.32253,1.53835,3.927,1.26664,0.000143432,0.000143432,0.000143432
13,45.8687,1.59738,3.43553,1.29158,0.00333,1,0.682,0.34983,1.50769,3.83968,1.20554,0.00015251,0.00015251,0.00015251
14,49.0241,1.35124,2.82416,1.12903,0.00333,1,0.68133,0.35298,1.56429,3.79692,1.21045,0.000160929,0.000160929,0.000160929
15,52.0863,1.43192,2.59882,1.28618,0.00334,1,0.72279,0.35171,1.61399,3.8005,1.22164,0.000168687,0.000168687,0.000168687
16,55.2362,1.32587,2.47059,1.20713,0.00334,1,0.76767,0.36389,1.69777,3.82156,1.2675,0.000175785,0.000175785,0.000175785
17,58.4178,1.39396,2.47707,1.28911,0.00333,1,0.79955,0.40206,1.62403,3.70993,1.21976,0.000182223,0.000182223,0.000182223
18,61.4144,1.32274,2.61096,1.1888,0.00333,1,0.79955,0.40206,1.62403,3.70993,1.21976,0.000188001,0.000188001,0.000188001
19,64.5831,1.30231,2.46489,1.14802,0.00333,1,0.80864,0.4305,1.54394,3.60632,1.19295,0.000193119,0.000193119,0.000193119
20,67.6857,1.19411,2.20673,1.18701,0.00333,1,0.80864,0.4305,1.54394,3.60632,1.19295,0.000197576,0.000197576,0.000197576
21,70.8018,1.33789,2.30872,1.12369,0.00332,1,0.80864,0.4549,1.45779,3.57313,1.14777,0.000201374,0.000201374,0.000201374
22,73.8978,1.2695,2.18943,1.12511,0.00332,1,0.80864,0.4549,1.45779,3.57313,1.14777,0.000204511,0.000204511,0.000204511
23,76.9198,1.21577,2.17461,1.2043,0.0036,1,0.77808,0.48827,1.29176,3.51889,1.08163,0.000206988,0.000206988,0.000206988
24,80.1851,1.11736,2.12974,1.0647,0.0036,1,0.77808,0.48827,1.29176,3.51889,1.08163,0.000208805,0.000208805,0.000208805
25,83.2361,1.19112,2.16398,1.15141,0.00326,0.91667,0.71395,0.49587,1.13558,3.5086,1.0467,0.000209962,0.000209962,0.000209962
26,86.3505,1.30407,2.24887,1.12653,0.00326,0.91667,0.71395,0.49587,1.13558,3.5086,1.0467,0.000210459,0.000210459,0.000210459
27,89.5312,1.0551,1.88241,0.9733,0.00331,1,0.74359,0.48436,1.05248,3.48018,1.02576,0.000210295,0.000210295,0.000210295
28,92.5436,1.32125,2.19859,1.2666,0.00331,1,0.74359,0.48436,1.05248,3.48018,1.02576,0.000209472,0.000209472,0.000209472
29,95.7331,1.20093,2.39215,1.18883,0.00331,1,0.65965,0.47205,0.99847,3.44191,1.00389,0.000207988,0.000207988,0.000207988
30,98.8439,1.01893,1.89904,0.98297,0.00331,1,0.65965,0.47205,0.99847,3.44191,1.00389,0.000205844,0.000205844,0.000205844
31,102.015,1.32279,2.30293,1.31634,0.00331,1,0.69625,0.44804,1.08017,3.38645,1.01401,0.000203041,0.000203041,0.000203041
32,105.183,1.14726,1.90306,1.09829,0.00331,1,0.69625,0.44804,1.08017,3.38645,1.01401,0.000199577,0.000199577,0.000199577
